   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.033    0.016 __init__.py:45(<module>)
       44    0.000    0.000    0.032    0.001 controlflow.py:335(_find_dominators)
        1    0.000    0.000    0.031    0.031 cpu.py:40(init)
     6078    0.011    0.000    0.031    0.000 contextlib.py:157(helper)
32243/32231    0.029    0.000    0.031    0.000 {built-in method builtins.getattr}
     5415    0.019    0.000    0.031    0.000 values.py:115(__init__)
25627/25049    0.028    0.000    0.031    0.000 {built-in method builtins.sorted}
      467    0.002    0.000    0.031    0.000 dispatcher.py:420(typeof_pyval)
     1833    0.006    0.000    0.030    0.000 values.py:606(append_basic_block)
      847    0.003    0.000    0.030    0.000 builder.py:681(cbranch)
        6    0.003    0.001    0.030    0.005 inline_closurecall.py:52(run)
       80    0.001    0.000    0.030    0.000 dispatcher.py:409(<listcomp>)
       44    0.016    0.000    0.030    0.001 controlflow.py:400(_find_loops)
      245    0.002    0.000    0.030    0.000 objmode.py:568(alloca)
    46205    0.030    0.000    0.030    0.000 {method 'extend' of 'list' objects}
       48    0.002    0.000    0.029    0.001 __init__.py:357(namedtuple)
        1    0.000    0.000    0.029    0.029 __init__.py:27(<module>)
      297    0.001    0.000    0.029    0.000 cgutils.py:796(gep_inbounds)
      160    0.000    0.000    0.029    0.000 _methods.py:31(_sum)
     3550    0.008    0.000    0.029    0.000 context.py:424(can_convert)
  617/611    0.002    0.000    0.029    0.000 functools.py:802(wrapper)
     2032    0.007    0.000    0.029    0.000 castgraph.py:42(insert)
        4    0.004    0.001    0.029    0.007 controlflow.py:508(run)
      864    0.004    0.000    0.029    0.000 builder.py:446(_icmp)
     1058    0.008    0.000    0.029    0.000 interpreter.py:244(store)
       57    0.000    0.000    0.029    0.001 sre_compile.py:542(_code)
     1110    0.005    0.000    0.029    0.000 instructions.py:166(<listcomp>)
       35    0.000    0.000    0.029    0.001 pythonapi.py:1309(to_native_value)
  530/506    0.001    0.000    0.029    0.000 ir_utils.py:1300(guard)
      298    0.003    0.000    0.028    0.000 cgutils.py:803(gep)
     1818    0.009    0.000    0.028    0.000 instructions.py:411(descr)
       27    0.000    0.000    0.028    0.001 cpu.py:50(load_additional_registries)
       44    0.001    0.000    0.028    0.001 controlflow.py:338(_find_post_dominators)
        1    0.000    0.000    0.028    0.028 nrt.py:18(initialize)
        1    0.000    0.000    0.028    0.028 nrtdynmod.py:194(compile_nrt_functions)
   108/89    0.001    0.000    0.027    0.000 base.py:475(get_function)
       80    0.002    0.000    0.027    0.000 layers.py:163(forward)
      774    0.001    0.000    0.027    0.000 builder.py:466(icmp_unsigned)
        1    0.000    0.000    0.027    0.027 cnn.py:10(__init__)
    26163    0.022    0.000    0.027    0.000 _utils.py:66(_stringify_metadata)
      265    0.001    0.000    0.027    0.000 cgutils.py:141(_get_ptr_by_index)
        2    0.007    0.004    0.027    0.013 layers.py:156(__init__)
        1    0.000    0.000    0.027    0.027 parfor.py:14(<module>)
        8    0.000    0.000    0.027    0.003 typeconv.py:78(promote_unsafe)
      284    0.007    0.000    0.027    0.000 analysis.py:68(fix_point_progress)
      810    0.009    0.000    0.027    0.000 typeinfer.py:348(fold_arg_vars)
      664    0.001    0.000    0.027    0.000 callconv.py:88(return_exc)
       57    0.001    0.000    0.026    0.000 sre_parse.py:844(parse)
        1    0.000    0.000    0.026    0.026 cffi_utils.py:5(<module>)
      687    0.001    0.000    0.026    0.000 callconv.py:354(_return_errcode_raw)
    12976    0.018    0.000    0.026    0.000 types.py:160(__eq__)
      715    0.003    0.000    0.026    0.000 builder.py:705(ret)
     2148    0.007    0.000    0.026    0.000 errors.py:71(catch_warnings)
    13520    0.026    0.000    0.026    0.000 {built-in method numpy.core.multiarray.arange}
      815    0.004    0.000    0.026    0.000 typeinfer.py:1015(typeof_assign)
     1239    0.002    0.000    0.026    0.000 cgutils.py:405(get_null_value)
       40    0.026    0.001    0.026    0.001 optimizer.py:34(step)
       16    0.007    0.000    0.025    0.002 analysis.py:88(compute_dead_maps)
        2    0.000    0.000    0.025    0.013 compiler.py:473(stage_nopython_rewrites)
   354/57    0.006    0.000    0.025    0.000 sre_compile.py:64(_compile)
     3336    0.008    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
       12    0.000    0.000    0.025    0.002 imputils.py:302(wrapper)
    35460    0.024    0.000    0.024    0.000 builder.py:93(block)
        4    0.000    0.000    0.024    0.006 dataflow.py:26(run)
     8214    0.013    0.000    0.024    0.000 {built-in method builtins.all}
       11    0.000    0.000    0.024    0.002 castgraph.py:131(safe)
      164    0.003    0.000    0.024    0.000 dataflow.py:30(run_on_block)
    34476    0.024    0.000    0.024    0.000 {method 'rstrip' of 'str' objects}
     1833    0.005    0.000    0.023    0.000 values.py:762(__init__)
        1    0.000    0.000    0.023    0.023 api.py:39(__init__)
   149/57    0.001    0.000    0.023    0.000 sre_parse.py:407(_parse_sub)
        1    0.001    0.001    0.023    0.023 arrayobj.py:4(<module>)
       19    0.000    0.000    0.023    0.001 arrayobj.py:65(_make_refs)
      678    0.003    0.000    0.023    0.000 builder.py:613(alloca)
      192    0.006    0.000    0.023    0.000 numpy_support.py:288(ufunc_find_matching_loop)
     1624    0.004    0.000    0.022    0.000 values.py:124(_to_string)
    28268    0.022    0.000    0.022    0.000 {method 'insert' of 'list' objects}
   176/63    0.006    0.000    0.022    0.000 sre_parse.py:470(_parse)
        1    0.000    0.000    0.022    0.022 platform.py:10(<module>)
      455    0.002    0.000    0.022    0.000 builder.py:763(gep)
     9882    0.009    0.000    0.022    0.000 core.py:152(get_or_insert_function)
       72    0.000    0.000    0.022    0.000 inline_closurecall.py:902(match)
     2562    0.006    0.000    0.022    0.000 {built-in method builtins.any}
      864    0.004    0.000    0.022    0.000 instructions.py:306(__init__)
