   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      281    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.001    0.001 numerictypes.py:302(_add_aliases)
       40    0.000    0.000    0.001    0.000 _methods.py:34(_prod)
        4    0.000    0.000    0.001    0.000 enum.py:758(_missing_)
        1    0.000    0.000    0.001    0.001 bisect.py:1(<module>)
        1    0.000    0.000    0.001    0.001 numerictypes.py:954(_register_types)
      636    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
        4    0.000    0.000    0.001    0.000 enum.py:765(_create_pseudo_member_)
      729    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
      295    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
       19    0.000    0.000    0.001    0.000 nosetester.py:554(_numpy_tester)
       51    0.000    0.000    0.001    0.000 _internal.py:715(_ufunc_doc_signature_formatter)
      320    0.001    0.000    0.001    0.000 {method 'tolist' of 'numpy.ndarray' objects}
       77    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x55f8a9921d60}
       17    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
        4    0.000    0.000    0.000    0.000 enum.py:837(_decompose)
      640    0.000    0.000    0.000    0.000 arraypad.py:77(_prepend_const)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:393(_check_name_wrapper)
        9    0.000    0.000    0.000    0.000 datetime.py:355(__new__)
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:780(find_spec)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
      640    0.000    0.000    0.000    0.000 arraypad.py:111(_append_const)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1196(__init__)
      320    0.000    0.000    0.000    0.000 stride_tricks.py:25(_maybe_view_as_subclass)
        4    0.000    0.000    0.000    0.000 textwrap.py:414(dedent)
       19    0.000    0.000    0.000    0.000 nosetester.py:157(__init__)
      450    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      131    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.FileIO' objects}
      447    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      167    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:707(find_spec)
        1    0.000    0.000    0.000    0.000 numerictypes.py:121(<listcomp>)
       18    0.000    0.000    0.000    0.000 core.py:994(__init__)
      166    0.000    0.000    0.000    0.000 sre_parse.py:171(append)
        1    0.000    0.000    0.000    0.000 pathlib.py:382(_NormalAccessor)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
        3    0.000    0.000    0.000    0.000 tokenize.py:137(_all_string_prefixes)
       91    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       73    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
      160    0.000    0.000    0.000    0.000 {method 'round' of 'numpy.ndarray' objects}
        9    0.000    0.000    0.000    0.000 extras.py:238(__init__)
      273    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.add_docstring}
       30    0.000    0.000    0.000    0.000 getlimits.py:70(<lambda>)
      172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
        4    0.000    0.000    0.000    0.000 re.py:184(sub)
      320    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
      263    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      395    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      208    0.000    0.000    0.000    0.000 sre_parse.py:248(match)
      108    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      273    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        9    0.000    0.000    0.000    0.000 extras.py:242(getdoc)
       11    0.000    0.000    0.000    0.000 abc.py:135(<setcomp>)
       27    0.000    0.000    0.000    0.000 core.py:918(__init__)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
        1    0.000    0.000    0.000    0.000 layers.py:53(__init__)
       42    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
        3    0.000    0.000    0.000    0.000 enum.py:855(<listcomp>)
